Tipo,Numero,Ano,Edicao,Ano_Edicao,Contratante,Contratada,CNPJ,Objeto,Valor
CONTRATO,157,2025,1793,7,Município de Saquarema.,"Word Efeitos LTDA",51.295.703/0001-25.,"Prestação de serviço de locação de estrutura, ornamentação e iluminação temática natalina, com suporte técnico es- pecializado, fornecimento de infraestrutu- ra e apoio operacional, com a realização d",11349148.68
CONTRATO,032,2025,1793,7,Município  de  Saquarema/,"MBM    Tecnologia    e    In-",13.977.867/0001-,"Aquisição de computadores, no- breaks e notebooks para atender as Uni- dades Administrativas do Fundo Munici- pal da Criança e do Adolescente.",26740.00
CONTRATO,034,2025,1793,7,Município  de  Saquarema/,"MBM    Tecnologia    e    In-",13.977.867/0001-,"Aquisição de computadores, no- breaks e notebooks para atender as Uni- dades Administrativas do Fundo Munici- pal da Assistência Social.",362900.00
CONTRATO,037,2025,1793,7,Município  de  Saquarema/,"MBM    Tecnologia    e    In-",13.977.867/0001-43.,"Aquisição de computadores, no- breaks e notebooks para atender as Uni- dades Administrativas do Fundo Munici- pal dos Direitos do Idoso.",53480.00
CONTRATO,155,2025,1793,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
TERMO_ADITIVO,149 (Aditivo 1),2024,1793,7,Município de Saquarema,"Mercado   São   Lucas   de",21.127.646/0001-04.,"Prorrogação da vigência do con-",76065.14
CONTRATO,142,2025,1794,7,Município de Saquarema.,"AM Moreira Gonçalves e Cia",27.679.382/0001-88.,"Aquisição de barracas para feiras da agricultura familiar e eventos relacio- nados a pesca e produção rural.",24975.00
ATA_REGISTRO_PRECOS,135,2025,1794,7,Município de Saquarema,"Registro de Preços",,"Contratação de laboratório espe- cializado em análise de amostra de água marinha e de água de interior, visando prestação de serviços de coleta, preser- vação, transporte, armazenamento, re- cebimento",287980.80
ATA_REGISTRO_PRECOS,142,2025,1794,7,Município de Saquarema,"Registro de Preços",,"Registro de preços para a eventu- al e futura aquisição de diversos materiais de consumo e permanentes para atender os CRAS, CREAS e Abrigo Raio de Sol.",35920.60
ATA_REGISTRO_PRECOS,129,2025,1794,7,Município de Saquarema,"Registro de Preços",,"Contratação de serviços gráfi- cos e editoriais para atender a demanda da Secretaria Municipal dos Direitos dos Animais.",5200.00
ATA_REGISTRO_PRECOS,130,2025,1794,7,Município de Saquarema,"Registro de Preços",,"Contratação de serviços gráfi- cos e editoriais para atender a demanda da Secretaria Municipal dos Direitos dos Animais.",65660.00
ATA_REGISTRO_PRECOS,131,2025,1794,7,Município de Saquarema,"Registro de Preços",,"Contratação de serviços gráfi- cos e editoriais para atender a demanda da Secretaria Municipal dos Direitos dos Animais.",600.00
ATA_REGISTRO_PRECOS,133,2025,1794,7,Município de Saquarema,"Registro de Preços",,"Contratação de serviços gráfi- cos e editoriais para atender a demanda da Secretaria Municipal dos Direitos dos Animais.",14680.00
ATA_REGISTRO_PRECOS,134,2025,1794,7,Município de Saquarema,"Registro de Preços",,"Contratação de serviços gráfi- cos e editoriais para atender a demanda da Secretaria Municipal dos Direitos dos Animais.",9170.00
TERMO_ADITIVO,173 (Aditivo 2),2023,1794,7,Município de Saquarema,"Brasilseg Companhia de Se-",28.196.889/0001-43.,"Prorrogação da vigência do con-",1476.00
TERMO_ADITIVO,060 (Aditivo 5),2021,1794,7,Município de Saquarema,"Dudu 91 Sonorização e Ilumi-",07.366.965/0001-,"Prorrogação da vigência do con-",88800.00
CONTRATO,156,2025,1795,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
CONTRATO,154,2025,1795,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
TERMO_ADITIVO,168 (Aditivo 4),2021,1795,7,Município de Saquarema,"Galvão  Transporte  e  Servi-",09.331.341/0001-14.,"Prorrogação da vigência e redu-",2332491.41
TERMO_ADITIVO,047 (Aditivo 3),2023,1795,7,Município de Saquarema,"Artelagos Artefatos de Con-",39.845.656/0001-,"Acréscimo do contrato n°",962122.00
CONTRATO,029,2025,1796,7,Município  de  Saquarema/,"AMB  Distribuidora  de  Medi-",37.885.137/0001-80.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",28859.48
CONTRATO,030,2025,1796,7,Município  de  Saquarema/,"Cirúrgica   Izamed   LTDA",12.967.916/0001-02.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do ATOS DA PREFEITA AVISOS, ATAS,",0.00
CONTRATO,031,2025,1796,7,Município  de  Saquarema/,"Dental   Alta   Mogiana   Co-",05.375.249/0001-03.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",149000.00
CONTRATO,032,2025,1796,7,Município  de  Saquarema/,"Dentemed     Equipamen-",07.897.039/0001-00.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",359372.04
CONTRATO,033,2025,1796,7,Município  de  Saquarema/,"Horse  Móveis  Hospitalares",23.291.398/0001-68.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",8008.00
CONTRATO,034,2025,1796,7,Município  de  Saquarema/,"Itapemed Importadora e Ex-",54.322.844/0001-88.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",29457.25
CONTRATO,035,2025,1796,7,Município  de  Saquarema/,"MRM    Hospitalar    LTDA",20.920.517/0001-06.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",51987.00
CONTRATO,036,2025,1796,7,Município  de  Saquarema/,"Odontomaster  Equipamen-",54.860.907/0001-50.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",28323.00
CONTRATO,037,2025,1796,7,Município  de  Saquarema/,"Pietra    Odonto    Importa-",28.877.319/0001-19.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",108000.00
CONTRATO,038,2025,1796,7,Município  de  Saquarema/,"Comercial  de  Equipamen-",08.117.794/0001-80.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",290920.00
CONTRATO,039,2025,1796,7,Município  de  Saquarema/,"MF de Almeida & Cia LTDA",05.021.932/0001-34.,"Contratação de empresa espe- cializada no fornecimento de equipamen- tos odontológicos para atender aos seto- res da atenção básica e especializada do Município de Saquarema/RJ.",4639.18
TERMO_ADITIVO,142 (Aditivo 1),2024,1796,7,Município de Saquarema,"Associação    dos    Peque-",31.843.006/0001-54.,"Acréscimo do valor do contrato n°",165919.70
TERMO_ADITIVO,208 (Aditivo 4),2022,1796,7,Município de Saquarema,"Clarícia  Flores  e  Decora-",04.,"Prorrogação da vigência do con-",313895.00
TERMO_ADITIVO,227 (Aditivo 4),2023,1797,7,Município de Saquarema,"Força    Ambiental    LTDA",20.217.115/0001-40.,"Prorrogação da vigência e rea-",1498187.29
TERMO_ADITIVO,012 (Aditivo 4),2023,1797,7,Município de Saquarema,"20.491.036 Valfredo de Oli-",20.491.036/0001-22.,"Contratação de empresa para",0.00
CONTRATO,162,2025,1798,7,Município de Saquarema.,"Legus     Módulos     Loca-",15.192.641/0001-62.,"Aquisição de containers adapta- dos para módulo habitacional, com a fina- lidade de apoio as Secretarias vinculadas a Prefeitura Municipal de Saquarema.",1536588.00
CONTRATO,035,2025,1798,7,Município  de  Saquarema/,"Equality  Comércio  e  Servi-",47.930.658/0001-66.,"Aquisição de uniformes para atender aos servidores da Secretaria Mu- nicipal de Desenvolvimento Social.",36224.00
ATA_REGISTRO_PRECOS,148,2025,1798,7,Município de Saquarema,"Registro de Preços",,"Registro de preços para a con- tratação de empresa para elaboração de Projetos executivos em Building Informa- tion Modeling (BIM).",20916201.45
TERMO_ADITIVO,129 (Aditivo 1),2024,1798,7,Município de Saquarema,"BSX     Empreendimentos",32.168.761/0001-43.,"Prorrogação da vigência do con-",65494.00
CONTRATO,033,2025,1799,7,Município  de  Saquarema/,"Mercado São Lucas de Porto",21.127.646/0001-,"Aquisição de gêneros alimentí- cios para atender o Abrigo Raio de Sol.",191719.08
ATA_REGISTRO_PRECOS,140,2025,1799,7,Município de Saquarema,"Registro de Preços",,"Registro de preços para a even- tual aquisição de gêneros alimentícios para atender o Centro Dia do Idoso. AVISOS, ATAS,",0.00
ATA_REGISTRO_PRECOS,140,2025,1799,7,Município de Saquarema,"Registro de Preços",,"Registro de preços para a eventual aquisição de gêneros alimentícios para atender o Centro Dia do Idoso. Fornecedor Razão Social: Mercado São Lucas de Porto da Roça Ltda CNPJ/MF: 21.127.646/0001-04 En",743697.36
